id,name,neighbourhood,room_type
4952,Butterfly Inn near Stanford with weekly cleaning,Palo Alto,Private room
11464,Deluxe Studio near Kaiser SC:Traveler/Tesla intern,Santa Clara,Entire home/apt
21373,Bonsai Garden near Stanford with weekly cleaning,Palo Alto,Private room
62799,"Zen Bedroom in Palo Alto, includes weekly cleaning",Palo Alto,Private room
75284,Garden Oasis walk to Stanford with weekly cleaning,Palo Alto,Private room
118903,"Entire Guest Suite, Entrance@ House of Chauncey",Sunnyvale,Entire home/apt
134606,"Private Room, Cozy Home Downtown SJ",San Jose,Private room
231717,B&B: Quiet Bedroom & Bathroom,Santa Clara,Private room
263527,"Spacious house with 5 bedrooms, 3 bathrooms",San Jose,Entire home/apt
307827,Lovely Private Garden Cottage,Palo Alto,Entire home/apt
310377,Little room in a little house/LOL. Littleoldlady,Palo Alto,Private room
315339,Saratoga Silicon Valley  Victorian,Saratoga,Entire home/apt
338075,COZY ROOM IN FAMILY HOME,Mountain View,Private room
373628,"Suite in Grand Villa, Very private- Upscale Area.",Saratoga,Private room
373730,Spacious Sunny Room in Sweet Home,Palo Alto,Private room
480365,A RARE CLASSIC IN DOWNTOWN SAN JOSE,San Jose,Entire home/apt
497579,SanJose-Interns/Transplants -Short term room (CBR),San Jose,Private room
527119,Spacious and bright master suite in Los Altos.,Los Altos,Private room
529161,"Comfy, Cozy & Affordable 1-San Jose",San Jose,Private room
554085,Travelers/Interns Welcome-Short/Mid term (Atr),San Jose,Private room
564669,Relaxing Oasis in a Saratoga Villa- Private Entry.,Saratoga,Private room
616951,HackerHome - Santa Clara: private room4,Santa Clara,Private room
706286,Cozy 2BR Condo with parking washer & dryer,Sunnyvale,Entire home/apt
725538,Apartment in downtown SJ,San Jose,Entire home/apt
727926,Private Room with bath in Palo Alto,Palo Alto,Private room
743215,Little Paradise sauna garden near downtown,Saratoga,Entire home/apt
743260,Walk to Kaiser SC/Apple Park Furnished Studio,Santa Clara,Entire home/apt
743286,Mozart  Luxurious Master Room,San Jose,Private room
754226,In a Villa- Exceptionally Private Master Quarters.,Saratoga,Private room
765427,Downtown Mtn View Private Home with Hot Tub,Mountain View,Entire home/apt
791279,Palo Alto Cottage,Palo Alto,Entire home/apt
823706,In a Villa- Luxurious Exceptionslly private Suite.,Saratoga,Private room
877625,ForTesla interns/El Camino & Stanford travelers,Mountain View,Entire home/apt
881146,Modern Downtown Los Gatos Apartment,Los Gatos,Entire home/apt
890914,HackerHome - Santa Clara: bunk 1a,Sunnyvale,Shared room
913205,Best for International visitor,Morgan Hill,Private room
922716,2nd Floor Private Bedroom I,Palo Alto,Private room
952133,Handel Queen Bedroom in Happy Home!,San Jose,Private room
969522,Palo Alto/Stanford Garden Hideaway,Palo Alto,Entire home/apt
976347,Downtown Private Home with Backyard,Mountain View,Entire home/apt
978835,Private Bedroom+Bathroom+Entrance,Sunnyvale,Private room
995505,Bach Comfy Room in a Happy Home,San Jose,Private room
1013938,WFH from Penthouse with View and location!,Cupertino,Entire home/apt
1019524,"Cozy Cottage, Private Entrance",Palo Alto,Entire home/apt
1024086,Cozy Redwood Studio in Foothills,Unincorporated Areas,Entire home/apt
1108171,2 BR/ 2 levels TH in Silicon Valley,Milpitas,Entire home/apt
1122250,HackerHome - San Jose Dwtn: priv rm,San Jose,Private room
1133453,Home in resort-like environment~ upscale area.,Saratoga,Entire home/apt
1216215,"Comfy, Cozy & Affordable 3-San Jose",San Jose,Private room
1262859,"Bright, modern house",Unincorporated Areas,Entire home/apt
1309927,Palo Alto Country House,Palo Alto,Entire home/apt
1353178,HackerHome - San Jose Dwtn: bunk 3,San Jose,Shared room
1364787,Iris House Cozy room in dwntn Palo Alto & Stanford,Palo Alto,Private room
1388553,"Private studio, walk to Willow Glen dining",San Jose,Entire home/apt
1389339,"Private Room, Quiet, Green, Central",Mountain View,Private room
1463030,** 2BR Remodel w/ New Furniture ***,Palo Alto,Entire home/apt
1479769,Charming Palo Alto Carriage House,Palo Alto,Entire home/apt
1691675,"2BD Palo Alto home, great location",Palo Alto,Entire home/apt
1714156,Best Willow Glen Location*Walk to Restaurants/Bars,San Jose,Entire home/apt
1717995,Large Gorgeous Corporate House In Prime Location,San Jose,Entire home/apt
1743193,Nice Top Floor 2 Master Suites Executive Townhouse,San Jose,Entire home/apt
1815359,"3BR TH Near Kaiser SC, Caltrain & Costco Sunnyvale",Sunnyvale,Entire home/apt
1870059,La Casita. An Oasis in downtown San Jose,San Jose,Entire home/apt
1879601,Los Gatos Furnished Corporate/Easy to move into,Unincorporated Areas,Entire home/apt
1892611,"Upstairs room, private bathroom, gym",Cupertino,Private room
1926272,"Best of the Row, 2000sf Terrace Villa —Happy Home",San Jose,Entire home/apt
1950761,"30% Discount/month: Unlimited Food, Clean, & Quiet",San Jose,Shared room
1959776,"545 #3 1bdrm/1bth,dwntwn,hardwd,A/C",Palo Alto,Entire home/apt
1985054,The Lavender House,Unincorporated Areas,Entire home/apt
2045313,Amazing Views from 1.5 acre Los Altos Hills estate,Los Altos Hills,Entire home/apt
2057269,"Peaceful 3BD/2BA Home, Heart of Silicon Valley",San Jose,Entire home/apt
2096985,Old Downtown Palo Alto to Stanford Campus,Palo Alto,Private room
2102840,Serene luxury in premier North San Jose location,San Jose,Entire home/apt
2111028,"Craftsman, Palo Alto 4-5 bedrooms, 3 full baths.",Palo Alto,Entire home/apt
2155694,Long-term Stay: Clean + Professional + Food Plan,San Jose,Shared room
2155740,Long-term Stay: Professionally Cleaned + Food Plan,San Jose,Shared room
2170740,Luxe 4bd/3bth w/Gr8View/Lgdeck/Hottub/Billiard&gym,San Jose,Entire home/apt
2183797,"Lemon Tree Cottage, central silicon valley",San Jose,Entire home/apt
2197461,Sunny Modern Home in Palo Alto,Palo Alto,Private room
2199542,Cozy & private 1br cottage in Silicon Valley,Sunnyvale,Entire home/apt
2217061,Work from Home: Clean + Quiet + Food Provided,San Jose,Shared room
2235281,Light Victorian Home Downtown Campbell King Bed,Campbell,Entire home/apt
2241035,Best Deal-Rivermark-Santa Clara!,Santa Clara,Private room
2268571,"FREE Food, Clean, & Quiet: Engineers & Interns",San Jose,Shared room
2268664,"Female-Only Room: Clean, Quiet, & Food Provided",San Jose,Shared room
